name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
res_10548947-s-a,true,1,2,60,ld_10548947.1,0.24,10.63749854531369,2.666008439481268,4.533107368421056,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34086307-s-a,true,1,2,60,ld_34086307.1,0.24,6.461122887814735,1.619310035537279,2.75336947368421,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34084665-s-b,true,1,2,60,ld_34084665.2,0.24,23.2369796627369,5.823736062102966,9.840473684210552,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_20014992-s-a,true,1,2,60,ld_20014992.1,0.24,8.831148904421058,2.21329454563117,3.763342105263161,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10559588-s-c,true,1,2,60,ld_10559588.3,0.24,17.6504402358,4.423617303330491,7.493752631578951,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10549258-s-c,true,1,2,60,ld_10549258.3,0.24,17.1739521216,4.304198125188337,7.29145263157895,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10548941-s-c,true,1,2,60,ld_10548941.3,0.24,9.477708960600001,2.375337770272919,4.023900000000001,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34095660-s-c,true,1,2,60,ld_34095660.3,0.24,17.49047450939997,4.383526113207778,7.425836842105251,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34086301-s-c,true,1,2,60,ld_34086301.3,0.24,22.75588077299998,5.703161314684669,9.661342105263151,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34084602-s-c,true,1,2,60,ld_34084602.3,0.24,34.49635352819995,8.645601148216041,14.64593157894735,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34095650-s-b,true,1,2,60,ld_34095650.2,0.24,17.62027945094735,4.416058298117374,7.4618947368421,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34057798-s-b,true,1,2,60,ld_34057798.2,0.24,23.42734320829471,5.871445663835441,9.9210894736842,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
com_10580150-s-a,true,3,4,60,ld_10580150.1.2.3,0.48,444.2195581973326,189.2367393648767,198.931833333333,0.92,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_ABC,,,defaultload
res_10559407-s-a,true,1,2,60,ld_10559407.1,0.24,3.791043940850529,0.9501251725392168,1.61553105263158,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
